,district_name,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,county,year
111,DOLORES RE-4A,3423483,2376541,478,387710,6188212, 5150 , 3575 , 1 , 583 , 9308 ,MONTEZUMA,2010
112,MANCOS RE-6,1992988,2076534,-158,184455,4253819, 5330 , 5554 , 0 , 493 , 11377 ,MONTEZUMA,2010
113,MONTROSE COUNTY RE-1J,29236992,20160783,591669,3270430,53259874, 4813 , 3319 , 97 , 538 , 8768 ,MONTROSE,2010
114,WEST END RE-2,1723647,2078211,305,106793,3908957, 5477 , 6604 , 1 , 339 , 12421 ,MONTROSE,2010
115,BRUSH RE-2(J),7385027,5080700,0,1127769,13593496, 5111 , 3516 , 0 , 781 , 9408 ,MORGAN,2010
116,FORT MORGAN RE-3,14253963,12320339,332222,2826542,29733067, 4746 , 4102 , 111 , 941 , 9900 ,MORGAN,2010
117,WELDON VALLEY RE-20(J),1450791,867092,25540,148469,2491892, 7218 , 4314 , 127 , 739 , 12397 ,MORGAN,2010
118,WIGGINS RE-50(J),2704561,1844163,0,420834,4969558, 5297 , 3612 , 0 , 824 , 9733 ,MORGAN,2010
119,EAST OTERO R-1,7295150,5459713,199384,1332193,14286440, 5343 , 3999 , 146 , 976 , 10464 ,OTERO,2010
120,ROCKY FORD R-2,4645716,3519313,22537,6000,8193567, 5719 , 4333 , 28 , 7 , 10087 ,OTERO,2010
121,MANZANOLA 3J,1312280,1450115,3527,830499,3596421, 7132 , 7881 , 19 , 4514 , 19546 ,OTERO,2010
122,FOWLER R-4J,2467599,1400093,0,265983,4133675, 5927 , 3363 , 0 , 639 , 9930 ,OTERO,2010
123,CHERAW 31,1385061,920084,46726,297531,2649402, 6905 , 4587 , 233 , 1483 , 13207 ,OTERO,2010
124,SWINK 33,2202269,1541879,0,1203084,4947231, 6012 , 4209 , 0 , 3284 , 13506 ,OTERO,2010
125,OURAY R-1,2004020,1101635,0,251333,3356987, 8675 , 4769 , 0 , 1088 , 14532 ,OURAY,2010
126,RIDGWAY R-2,2336416,1896742,4000,1178450,5415607, 6974 , 5662 , 12 , 3518 , 16166 ,OURAY,2010
127,PLATTE CANYON 1,5964977,4893780,139138,990349,11988244, 5130 , 4209 , 120 , 852 , 10311 ,PARK,2010
128,PARK COUNTY RE-2,4077427,2859773,7079,8538280,15482560, 7617 , 5342 , 13 , 15950 , 28923 ,PARK,2010
129,HOLYOKE RE-1J,3657401,1885286,0,213843,5756531, 6328 , 3262 , 0 , 370 , 9959 ,PHILLIPS,2010
130,HAXTUN RE-2J,2009137,1028345,0,45812,3083294, 6878 , 3521 , 0 , 157 , 10556 ,PHILLIPS,2010
131,ASPEN 1,16237683,6969094,0,9404104,32610880, 9849 , 4227 , 0 , 5704 , 19780 ,PITKIN,2010
132,GRANADA RE-1,1624147,1015182,0,698,2640027, 6992 , 4370 , 0 , 3 , 11365 ,PROWERS,2010
133,LAMAR RE-2,8864198,4528125,92651,4393604,17878577, 5605 , 2863 , 59 , 2778 , 11306 ,PROWERS,2010
134,HOLLY RE-3,1667088,1069183,34070,860861,3631202, 6010 , 3854 , 123 , 3103 , 13090 ,PROWERS,2010
135,WILEY RE-13 JT,1479268,957908,0,112259,2549435, 6187 , 4006 , 0 , 470 , 10663 ,PROWERS,2010
136,PUEBLO CITY 60,86439205,69526324,337221,9533741,165836492, 5024 , 4041 , 20 , 554 , 9639 ,PUEBLO,2010
137,PUEBLO COUNTY RURAL 70,36460764,30004548,275,30430981,96896568, 4284 , 3525 , 0 , 3576 , 11385 ,PUEBLO,2010
138,MEEKER RE1,3967881,2309039,0,4396641,10673562, 6215 , 3617 , 0 , 6887 , 16719 ,RIO BLANCO,2010
139,RANGELY RE-4,2677607,2222903,11921,2592929,7505359, 5895 , 4894 , 26 , 5709 , 16524 ,RIO BLANCO,2010
140,DEL NORTE C-7,2900869,2686653,0,521534,6109055, 4931 , 4567 , 0 , 887 , 10384 ,RIO GRANDE,2010
141,MONTE VISTA C-8,5343731,3994716,0,5714108,15052555, 4709 , 3520 , 0 , 5035 , 13263 ,RIO GRANDE,2010
142,SARGENT RE-33J,2478134,1830180,0,546216,4854530, 5193 , 3835 , 0 , 1145 , 10173 ,RIO GRANDE,2010
143,HAYDEN RE-1,3217576,1934030,0,69938,5221544, 7906 , 4752 , 0 , 172 , 12829 ,ROUTT,2010
144,STEAMBOAT SPRINGS RE-2,13026653,8434568,314,5078465,26540000, 5974 , 3868 , 0 , 2329 , 12172 ,ROUTT,2010
145,SOUTH ROUTT RE 3,2778813,2031707,0,892380,5702900, 7143 , 5223 , 0 , 2294 , 14660 ,ROUTT,2010
146,MOUNTAIN VALLEY RE 1,1193134,857468,0,0,2050602, 9984 , 7175 , 0 , 0 , 17160 ,SAGUACHE,2010
147,MOFFAT 2,1520156,1613297,0,1089208,4222662, 7537 , 7998 , 0 , 5400 , 20935 ,SAGUACHE,2010
148,CENTER 26 JT,3834029,3348584,215446,3093428,10491487, 6748 , 5893 , 379 , 5444 , 18464 ,SAGUACHE,2010
149,SILVERTON 1,702843,419046,0,4765361,5887250, 10665 , 6359 , 0 , 72312 , 89336 ,SAN JUAN,2010
150,TELLURIDE R-1,5146839,3340212,321088,2573616,11381755, 7588 , 4924 , 473 , 3794 , 16780 ,SAN MIGUEL,2010
151,NORWOOD R-2J,2072837,1355292,0,311400,3739529, 7924 , 5181 , 0 , 1190 , 14295 ,SAN MIGUEL,2010
152,JULESBURG RE-1,9176033,1039100,0,579405,10794538, 5177 , 586 , 0 , 327 , 6090 ,SEDGWICK,2010
153,PLATTE VALLEY RE-3,1035526,834773,0,71506,1941806, 8488 , 6842 , 0 , 586 , 15916 ,SEDGWICK,2010
154,SUMMIT RE-1,19440713,14470632,233201,12390655,46535201, 6648 , 4948 , 80 , 4237 , 15913 ,SUMMIT,2010
155,CRIPPLE CREEK-VICTOR RE-1,3872214,1639754,2200,1516527,7030695, 8759 , 3709 , 5 , 3430 , 15903 ,TELLER,2010
156,WOODLAND PARK RE-2,14125773,8521457,0,12202500,34849731, 5163 , 3115 , 0 , 4460 , 12738 ,TELLER,2010
157,AKRON R-1,2321235,1486578,0,3074305,6882118, 5986 , 3833 , 0 , 7928 , 17747 ,WASHINGTON,2010
158,ARICKAREE R-2,793381,768126,0,726,1562233, 7771 , 7523 , 0 , 7 , 15301 ,WASHINGTON,2010
159,OTIS R-3,1560767,1042664,0,66337,2669767, 8029 , 5363 , 0 , 341 , 13733 ,WASHINGTON,2010
160,LONE STAR 101,1030431,517597,0,0,1548028, 9666 , 4856 , 0 , 0 , 14522 ,WASHINGTON,2010
161,WOODLIN R-104,807727,1051526,0,699,1859952, 8021 , 10442 , 0 , 7 , 18470 ,WASHINGTON,2010
162,WELD RE-1,9604926,6844167,10781,393387,16853260, 5170 , 3684 , 6 , 212 , 9072 ,WELD,2010
163,EATON RE-2,7876728,4945473,1437,1030810,13854448, 4538 , 2849 , 1 , 594 , 7982 ,WELD,2010
164,KEENESBURG RE-3(J),10633662,8919376,9987,3403556,22966581, 4946 , 4149 , 5 , 1583 , 10682 ,WELD,2010
165,WINDSOR RE-4,20155440,16126626,645,25824754,62107464, 4884 , 3908 , 0 , 6258 , 15050 ,WELD,2010
166,JOHNSTOWN-MILIKEN RE-5J,15126983,8700531,0,2587520,26415033, 5115 , 2942 , 0 , 875 , 8932 ,WELD,2010
167,GREELEY 6,89066120,64572511,0,13529637,167168268, 4795 , 3476 , 0 , 728 , 9000 ,WELD,2010
168,PLATTE VALLEY RE-7,6415235,6217989,0,4279626,16912850, 5777 , 5599 , 0 , 3854 , 15230 ,WELD,2010
169,WELD COUNTY S/D RE-8,12403528,10870427,20495,1028835,24323285, 5516 , 4834 , 9 , 458 , 10817 ,WELD,2010
170,AULT-HIGHLAND RE-9,4103157,3147154,0,620565,7870876, 4858 , 3726 , 0 , 735 , 9319 ,WELD,2010
171,BRIGGSDALE RE-10,1085212,889087,0,430233,2404531, 7464 , 6115 , 0 , 2959 , 16537 ,WELD,2010
172,PRAIRIE RE-11,1219619,979228,0,0,2198847, 7365 , 5913 , 0 , 0 , 13278 ,WELD,2010
173,PAWNEE RE-12,1041659,740004,0,61474,1843137, 10673 , 7582 , 0 , 630 , 18885 ,WELD,2010
174,YUMA 1,4431710,3277849,0,1358007,9067566, 5596 , 4139 , 0 , 1715 , 11450 ,YUMA,2010
175,WRAY RD-2,3532489,2746335,0,800124,7078947, 5378 , 4181 , 0 , 1218 , 10776 ,YUMA,2010
176,IDALIA RJ-3,1154510,810850,0,25002,1990362, 8539 , 5997 , 0 , 185 , 14722 ,YUMA,2010
177,LIBERTY J-4,926415,647462,0,25386,1599262, 11068 , 7736 , 0 , 303 , 19107 ,YUMA,2010
178,CHARTER SCHOOL INSTITUTE,31582803,24642295,49762,14599500,70874360, 4156 , 3243 , 7 , 1921 , 9326 ,,2010
0,MAPLETON 1,38157232,24772389,1133114,47915629,111978365, 5211 , 3383 , 155 , 6544 , 15293 ,ADAMS,2011
1,ADAMS 12 FIVE STAR,222647754,122690063,1234485,204125589,550697892, 5417 , 2985 , 30 , 4966 , 13397 ,ADAMS,2011
2,ADAMS COUNTY 14,35356243,37275630,795722,7400225,80827821, 5233 , 5517 , 118 , 1095 , 11963 ,ADAMS,2011
3,BRIGHTON 27J,62834937,49692282,261089,61259467,174047775, 4239 , 3353 , 18 , 4133 , 11743 ,ADAMS,2011
4,BENNETT 29J,4471446,3839480,0,8277945,16588870, 4268 , 3665 , 0 , 7902 , 15835 ,ADAMS,2011
5,STRASBURG 31J,4441915,3371557,0,6942257,14755729, 4663 , 3540 , 0 , 7288 , 15492 ,ADAMS,2011
6,WESTMINSTER 50,50976836,42731800,485730,10856522,105050888, 5342 , 4478 , 51 , 1138 , 11008 ,ADAMS,2011
