,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
151,NORWOOD R-2J,SAN MIGUEL,2072837,1355292,0,311400,3739529,7924.0,5181.0,0.0,1190.0,14295.0,2010
152,JULESBURG RE-1,SEDGWICK,9176033,1039100,0,579405,10794538,5177.0,586.0,0.0,327.0,6090.0,2010
153,PLATTE VALLEY RE-3,SEDGWICK,1035526,834773,0,71506,1941806,8488.0,6842.0,0.0,586.0,15916.0,2010
154,SUMMIT RE-1,SUMMIT,19440713,14470632,233201,12390655,46535201,6648.0,4948.0,80.0,4237.0,15913.0,2010
155,CRIPPLE CREEK-VICTOR RE-1,TELLER,3872214,1639754,2200,1516527,7030695,8759.0,3709.0,5.0,3430.0,15903.0,2010
156,WOODLAND PARK RE-2,TELLER,14125773,8521457,0,12202500,34849731,5163.0,3115.0,0.0,4460.0,12738.0,2010
157,AKRON R-1,WASHINGTON,2321235,1486578,0,3074305,6882118,5986.0,3833.0,0.0,7928.0,17747.0,2010
158,ARICKAREE R-2,WASHINGTON,793381,768126,0,726,1562233,7771.0,7523.0,0.0,7.0,15301.0,2010
159,OTIS R-3,WASHINGTON,1560767,1042664,0,66337,2669767,8029.0,5363.0,0.0,341.0,13733.0,2010
160,LONE STAR 101,WASHINGTON,1030431,517597,0,0,1548028,9666.0,4856.0,0.0,0.0,14522.0,2010
161,WOODLIN R-104,WASHINGTON,807727,1051526,0,699,1859952,8021.0,10442.0,0.0,7.0,18470.0,2010
162,WELD RE-1,WELD,9604926,6844167,10781,393387,16853260,5170.0,3684.0,6.0,212.0,9072.0,2010
163,EATON RE-2,WELD,7876728,4945473,1437,1030810,13854448,4538.0,2849.0,1.0,594.0,7982.0,2010
164,KEENESBURG RE-3J,WELD,10633662,8919376,9987,3403556,22966581,4946.0,4149.0,5.0,1583.0,10682.0,2010
165,WINDSOR RE-4,WELD,20155440,16126626,645,25824754,62107464,4884.0,3908.0,0.0,6258.0,15050.0,2010
166,JOHNSTOWN-MILIKEN RE-5J,WELD,15126983,8700531,0,2587520,26415033,5115.0,2942.0,0.0,875.0,8932.0,2010
167,GREELEY 6,WELD,89066120,64572511,0,13529637,167168268,4795.0,3476.0,0.0,728.0,9000.0,2010
168,PLATTE VALLEY RE-7,WELD,6415235,6217989,0,4279626,16912850,5777.0,5599.0,0.0,3854.0,15230.0,2010
169,WELD COUNTY S/D RE-8,WELD,12403528,10870427,20495,1028835,24323285,5516.0,4834.0,9.0,458.0,10817.0,2010
170,AULT-HIGHLAND RE-9,WELD,4103157,3147154,0,620565,7870876,4858.0,3726.0,0.0,735.0,9319.0,2010
171,BRIGGSDALE RE-10,WELD,1085212,889087,0,430233,2404531,7464.0,6115.0,0.0,2959.0,16537.0,2010
172,PRAIRIE RE-11,WELD,1219619,979228,0,0,2198847,7365.0,5913.0,0.0,0.0,13278.0,2010
