district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Platte Valley School District RE-7,151,1111,4804,2011,0.13591359135913592,0.23126561199000834
Kim Reorganized School District 88,14,52,299,2011,0.2692307692307692,0.17391304347826086
Kiowa School District C-2,40,515,2605,2011,0.07766990291262135,0.19769673704414586
Kit Carson School District R-1,23,93,493,2011,0.24731182795698925,0.18864097363083165
West Grand School District 1-JT,31,541,2989,2011,0.05730129390018484,0.18099698895951824
North Conejos School District RE-1J,247,1033,4640,2011,0.23910939012584706,0.22262931034482758
East Otero School District R-1,486,1575,8845,2011,0.30857142857142855,0.17806670435274166
La Veta School District RE-2,32,153,1271,2011,0.20915032679738563,0.12037765538945712
Lake County School District R-1,329,1299,7427,2011,0.25327174749807546,0.1749023831964454
Lamar School District RE-2,476,1826,9395,2011,0.2606790799561884,0.19435870143693454
Las Animas School District RE-1,198,591,5404,2011,0.3350253807106599,0.10936343449296818
Limon School District RE-4J,81,434,3313,2011,0.18663594470046083,0.13099909447630545
Littleton School District 6,1573,15510,93928,2011,0.10141843971631205,0.16512647985691167
Lone Star School District 101,7,49,253,2011,0.14285714285714285,0.19367588932806323
St. Vrain Valley School District RE 1J,3305,29721,154754,2011,0.11120083442683625,0.19205319410160643
Thompson School District R-2J,2240,18182,106288,2011,0.12319876801231988,0.17106352551558032
Mancos School District RE-6,94,468,3214,2011,0.20085470085470086,0.14561294337274425
Manitou Springs School District 14,189,1158,8418,2011,0.16321243523316062,0.1375623663578047
Manzanola School District 3J,59,194,919,2011,0.30412371134020616,0.21109902067464636
Mapleton School District 1,1341,6296,31124,2011,0.21299237611181704,0.20228762369875336
McClave School District RE-2,33,145,704,2011,0.22758620689655173,0.2059659090909091
Meeker School District RE1,89,711,3926,2011,0.12517580872011252,0.18110035659704535
Buffalo School District RE-4,27,186,994,2011,0.14516129032258066,0.18712273641851107
Miami-Yoder School District 60-JT,132,427,2241,2011,0.3091334894613583,0.19053993752788934
Moffat Consolidated School District 2,66,175,1603,2011,0.37714285714285717,0.1091703056768559
Moffat County School District RE-1,376,2561,13451,2011,0.14681764935572042,0.1903947661883875
Monte Vista School District C-8,371,1237,6454,2011,0.29991915925626517,0.19166408428881315
Montrose County School District RE-1J,1456,6928,38469,2011,0.21016166281755197,0.18009306194598249
Lewis-Palmer School District 38,330,6711,29446,2011,0.04917299955297273,0.2279087142566053
West End School District RE-2,78,372,2109,2011,0.20967741935483872,0.1763869132290185
Norwood School District R-2J,72,296,2004,2011,0.24324324324324326,0.14770459081836326
